Date,open_price,high_price,low_price,close_price,vol,script,Resistance,Support,pivot_upper,pivot_lower,screener,screener_side,screener_implications,user_actions,next_10_high,next_10_low,win_buy,win_sell,Alert_Uturn,Trap_Alert_POSITION,pattern_identifier_trendbreak,data_interval,Alert_details,Price_Closer_Support,Price_Closer_Resistance
2025-11-21 12:53:00+05:30,1554.1,1554.2,1552.7,1554.0,118829,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:55:00+05:30,1554.1,1554.8,1554.0,1554.3,84350,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:57:00+05:30,1554.2,1554.6,1553.6,1553.6,48376,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 12:59:00+05:30,1553.6,1554.1,1552.7,1552.9,64457,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:01:00+05:30,1552.8,1553.0,1551.4,1552.8,154281,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:03:00+05:30,1552.8,1553.1,1552.1,1552.7,29408,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:05:00+05:30,1552.6,1554.4,1552.5,1554.1,39451,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:07:00+05:30,1554.1,1554.1,1553.1,1553.5,28333,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:09:00+05:30,1553.5,1553.8,1553.1,1553.1,57981,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:11:00+05:30,1553.1,1553.7,1550.5,1551.1,65444,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:13:00+05:30,1551.0,1551.3,1550.1,1550.2,29435,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:15:00+05:30,1550.2,1550.2,1549.3,1549.7,39695,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:17:00+05:30,1549.7,1550.0,1548.3,1549.0,29100,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:19:00+05:30,1548.9,1549.1,1548.1,1549.0,27693,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:21:00+05:30,1549.0,1549.5,1548.1,1548.9,22118,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:23:00+05:30,1548.9,1548.9,1548.2,1548.4,22938,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:25:00+05:30,1548.4,1548.5,1547.6,1548.3,19961,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:27:00+05:30,1548.4,1550.0,1548.3,1549.8,27237,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:29:00+05:30,1549.9,1550.0,1549.0,1549.0,40279,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:31:00+05:30,1549.0,1550.0,1548.7,1550.0,41322,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:33:00+05:30,1550.0,1551.1,1549.8,1550.9,58593,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:35:00+05:30,1551.2,1551.4,1549.1,1549.3,30685,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:37:00+05:30,1549.3,1549.6,1547.6,1548.9,113360,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:39:00+05:30,1548.7,1549.2,1547.5,1548.6,40001,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:41:00+05:30,1548.6,1548.9,1548.0,1548.0,18973,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:43:00+05:30,1548.1,1548.1,1546.1,1546.1,77368,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:45:00+05:30,1546.1,1547.1,1545.3,1546.6,36265,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:47:00+05:30,1546.6,1547.5,1545.5,1546.6,28073,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:49:00+05:30,1546.6,1548.5,1546.5,1548.4,45700,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:51:00+05:30,1548.3,1549.9,1547.8,1549.8,79061,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:53:00+05:30,1550.0,1550.5,1549.1,1550.0,43869,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:55:00+05:30,1550.0,1550.3,1549.7,1550.0,27945,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:57:00+05:30,1550.0,1550.7,1549.6,1550.1,27313,RELIANCE,,,,,,,,,,,,,,,,,,,
2025-11-21 13:59:00+05:30,1550.2,1550.7,1550.2,1550.4,8902,RELIANCE,,,,,,,,,,,,,,,,,,,
